Stock,총자산증가율,자기자본증가율,매출액증가율,총자본영업이익율,총자본순이익율,자본금순이익율,매출액순이익율,매출액영업이익율,자기자본비율,부채비율,유보액/납입자본비율,총자본회전율,자기자본회전율, 당기순이익(손실),영업활동으로인한현금흐름,성장성,안정성,활동성,수익성,현금흐름,Z_score,부실기업판별_Z_score,부도확률_O_score,F_score,K_score,부실기업판별_K_score,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목,업종,관리종목여부,관리종목요건_감사의견,관리종목요건_매출액,관리종목요건_영업손실,관리종목요건_법인세비용차감전계속사업손실,날짜,PER,PBR,EPS,DIV,EPS성장률
099430,94.52,15.36,216.38,28.32,14.04,50.41,13.55,27.33,46.47,115.21,124.24,1.04,1.81,1495170000.0,3148098000.0,2.0,1.0,2.0,5.0,2.0,0.0,3.0,0.0006348869866362,2.0,16.659413543120937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,83.42,14.2,389.0,0.0,0.5497081451569511
273640,34.01,43.44,19.08,28.02,23.24,187.05,24.91,30.03,89.64,11.56,722.33,0.93,1.07,4416675000.0,5850430000.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,1.490363033826552e-06,2.0,27.004175983817376,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,72.48,11.01,814.0,0.0,0.5497081451569511
099390,14.12,10.66,9.53,9.22,8.77,98.98,13.75,14.45,87.02,14.91,946.84,0.64,0.72,1635961000.0,3108377000.0,2.0,3.0,2.0,4.0,2.0,0.0,3.0,1.976225682620032e-05,1.0,28.249310329683368,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1,2018,58.24,9.48,1116.0,0.0,-0.3548594413485441
367000,0.09,2.58,-21.54,16.95,1.31,78.47,0.58,7.55,51.96,92.45,3025.05,2.25,4.37,78467000.0,1500836000.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0020532194889781,1.0,26.001156314378413,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,1,2018,41.03,21.77,697.0,0.0,0.6450899998799806
357580,-9.29,0.15,-19.49,0.71,0.4,5.94,0.53,0.94,38.02,163.03,442.01,0.75,2.08,245988000.0,-111932000.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0041894398340166,1.0,21.86186442907924,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,10.81,-731.0,577.0059575740089,0.8152751181207422,-0.07211413583240521
303530,28.27,-34.65,-16.91,-12.87,-17.31,-174.21,-9.39,-6.99,29.33,241.0,146.98,1.84,4.42,-3236743000.0,-2076891000.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.016407483379264,0.0,18.40252581993688,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,2018,17.94,5.06,1006.0,0.0,0.6450899998799806
376190,26.47,20.34,7.51,11.52,10.92,125.75,9.79,10.33,59.37,68.45,663.27,1.12,1.84,13581181000.0,8085930000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0001527622959312,1.0,28.40392674464664,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,18.31,2.73,830.0,0.0,0.5497081451569511
276730,26.77,-31.26,328.59,-18.77,-21.57,-62.76,-98.1,-85.36,28.17,254.93,-8.35,0.22,0.57,-7349267000.0,-5058105000.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0223562052357824,1.0,8.113928482163614,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,0,0,2018,6.84,-155.0,0.0,0.04773642586300891,-5.930418841524372
361670,7.65,7.7,1.44,4.17,5.5,35.16,5.14,3.9,86.94,15.02,482.81,1.07,1.23,761288000.0,623626000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,2.5285181890059136e-05,1.0,21.40998903864455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,79.67,8.75,359.0,0.0,0.5497081451569511
252990,-15.96,-12.77,16.66,4.1,-5.48,-12.09,-9.65,7.22,44.12,126.66,-8.15,0.57,1.31,-2418153000.0,9852290000.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0060466786767144,1.0,16.55379500809034,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,0,2018,53.33,136.39,156.0,0.0,-0.07211413583240521
